TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2021,7,24,4,53,9XX WINDERMERE ST,Hastings-Sunrise,497355.4891,5458170.0736
Mischief,2021,1,25,10,50,ABBOTT ST / EXPO BLVD,Central Business District,492170.872,5458437.7708
Mischief,2021,4,25,23,41,ABBOTT ST / KEEFER PL,Central Business District,492171.8765,5458556.189
Mischief,2021,1,13,22,30,ABBOTT ST / KEEFER PL,Central Business District,492171.877,5458556.1886
Mischief,2021,4,9,20,47,ABBOTT ST / KEEFER PL,Central Business District,492171.877,5458556.1886
Mischief,2021,5,22,19,15,ABBOTT ST / KEEFER PL,Central Business District,492171.877,5458556.1886
Mischief,2021,11,19,11,18,ABBOTT ST / KEEFER PL,Central Business District,492171.877,5458556.1886
Mischief,2021,2,14,20,0,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Mischief,2021,4,11,2,28,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Mischief,2021,7,26,9,53,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Mischief,2021,2,25,6,41,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.8911
Mischief,2021,4,10,0,23,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.8911
Mischief,2021,6,6,0,20,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.8911
Mischief,2021,9,10,12,30,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.8911
Mischief,2021,11,19,10,28,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.8911
Mischief,2021,12,17,2,36,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.8911
Mischief,2021,6,26,23,30,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9207,5458810.8912
Mischief,2021,12,12,11,33,ABBOTT ST / W PENDER ST,Central Business District,492175.4366,5458706.8536
Mischief,2021,4,17,17,5,ABBOTT ST / W PENDER ST,Central Business District,492175.4371,5458706.8534
Mischief,2021,6,22,17,56,ABBOTT ST / W PENDER ST,Central Business District,492175.4371,5458706.8534
Mischief,2021,1,1,17,0,ADANAC ST / GARDEN DR,Grandview-Woodland,495790.1932,5458303.0276
Mischief,2021,5,29,11,35,ADANAC ST / MCLEAN DR,Grandview-Woodland,494607.2223,5458322.9593
Mischief,2021,4,27,19,34,ADANAC ST / WINDERMERE ST,Hastings-Sunrise,497364.4628,5458301.103
Mischief,2021,12,13,21,0,ALBERNI ST / BURRARD ST,West End,491151.7655,5459036.2265
Mischief,2021,9,10,6,15,ALBERNI ST / CHILCO ST,Stanley Park,490015.3422,5460156.844
Mischief,2021,6,26,4,22,ALBERNI ST / THURLOW ST,West End,491003.6115,5459185.0023
Mischief,2021,1,5,23,1,ALBERTA ST / W 2ND AVE,Mount Pleasant,491945.304,5457326.1556
Mischief,2021,9,19,19,15,ALBERTA ST / W 4TH AVE,Mount Pleasant,491940.7047,5457195.9592
Mischief,2021,4,2,15,0,ALBERTA ST / W 7TH AVE,Mount Pleasant,491932.8748,5456896.9662
Mischief,2021,10,22,12,0,ALBERTA ST / W BROADWAY AVE,Mount Pleasant,491927.4933,5456715.0435
Mischief,2021,1,27,9,0,ALDER ST / W BROADWAY AVE,Fairview,490442.2221,5456755.0435
Mischief,2021,12,8,18,0,ALEXANDER ST / HEATLEY AVE,Strathcona,493487.9853,5459021.1342
Mischief,2021,3,3,22,15,ALMA ST / W 4TH AVE,Kitsilano,486491.601,5457332.8654
Mischief,2021,9,22,11,40,ALMA ST / W 4TH AVE,Kitsilano,486491.601,5457332.8654
Mischief,2021,5,29,0,32,ALMA ST / W BROADWAY AVE,Kitsilano,486476.4389,5456861.8378
Mischief,2021,5,22,13,38,ARBUTUS ST / W 4TH AVE,Kitsilano,488885.8573,5457272.9884
Mischief,2021,3,3,0,0,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488856.4791,5455418.1873
Mischief,2021,9,12,20,44,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488856.4791,5455418.1873
Mischief,2021,6,9,22,0,ARGYLE ST / E KENT AVE N,Victoria-Fraserview,494805.4722,5450688.8211
Mischief,2021,7,4,16,41,ASH ST / W 6TH AVE,Fairview,491457.6414,5457016.7474
Mischief,2021,1,7,10,26,ASH ST / W 8TH AVE,Fairview,491453.966,5456830.342
Mischief,2021,11,4,22,45,ASH ST / W 8TH AVE,Fairview,491453.966,5456830.342
Mischief,2021,9,10,16,0,ASH ST / W BROADWAY AVE,Fairview,491449.6182,5456727.3828
Mischief,2021,12,7,8,30,BARCLAY ST / BROUGHTON ST,West End,490396.6674,5459315.5547
Mischief,2021,11,30,22,0,BARCLAY ST / BURRARD ST,West End,490911.1603,5458799.3801
Mischief,2021,8,21,13,31,BARCLAY ST / CARDERO ST,West End,490228.5983,5459482.8966
Mischief,2021,10,2,13,43,BEACH AVE / BURRARD ST,West End,490237.479,5458189.5171
Mischief,2021,12,17,9,52,BEACH AVE / GRANVILLE ST,Central Business District,490484.9109,5457936.8999
Mischief,2021,6,25,23,0,BEATTY ST / NELSON ST,Central Business District,491478.9848,5458090.5568
Mischief,2021,2,27,10,5,BENTALL ST / GRANDVIEW HWY,Renfrew-Collingwood,497672.1115,5456152.2278
Mischief,2021,11,12,20,30,BIRCH ST / W 8TH AVE,Fairview,490273.3149,5456859.8288
Mischief,2021,4,30,15,50,BLENHEIM ST / W 53RD AVE,Kerrisdale,486973.4953,5452309.7616
Mischief,2021,10,24,0,30,BLENHEIM ST / W 55TH AVE,Kerrisdale,486968.2434,5452090.3696
Mischief,2021,8,14,13,2,BROUGHTON ST / W PENDER ST,Central Business District,490732.3428,5459654.3284
Mischief,2021,4,2,13,0,BURNABY ST / BUTE ST,West End,490220.8908,5458710.6494
Mischief,2021,5,24,16,13,BURRARD ST / DAVIE ST,West End,490604.1485,5458488.3284
Mischief,2021,11,10,11,0,BURRARD ST / DAVIE ST,West End,490604.1485,5458488.3285
Mischief,2021,1,17,7,58,BURRARD ST / DUNSMUIR ST,Central Business District,491317.4369,5459212.3574
Mischief,2021,6,9,4,30,BURRARD ST / DUNSMUIR ST,Central Business District,491317.4369,5459212.3574
Mischief,2021,8,18,3,28,BURRARD ST / DUNSMUIR ST,Central Business District,491317.4369,5459212.3574
Mischief,2021,11,3,9,49,BURRARD ST / NELSON ST,West End,490833.2787,5458723.2683
Mischief,2021,6,20,16,0,BURRARD ST / NELSON ST,West End,490833.279,5458723.2686
Mischief,2021,10,29,15,0,BURRARD ST / PACIFIC ST,West End,490310.4289,5458226.8869
Mischief,2021,5,8,13,47,BURRARD ST / ROBSON ST,West End,491068.8642,5458954.9168
Mischief,2021,1,15,19,43,BURRARD ST / W 4TH AVE,Fairview,489404.7672,5457259.6245
Mischief,2021,4,1,20,0,BURRARD ST / W 6TH AVE,Fairview,489402.7805,5457070.449
Mischief,2021,8,27,14,16,BURRARD ST / W 6TH AVE,Fairview,489402.7805,5457070.449
Mischief,2021,3,28,12,0,BURRARD ST / W BROADWAY AVE,Fairview,489395.3769,5456781.1525
Mischief,2021,7,24,17,0,BURRARD ST / W CORDOVA ST,Central Business District,491550.3152,5459441.3292
Mischief,2021,8,24,17,23,BURRARD ST / W GEORGIA ST,West End,491193.2022,5459080.028
Mischief,2021,12,13,19,0,BURRARD ST / W GEORGIA ST,West End,491193.2022,5459080.028
Mischief,2021,7,1,16,48,BUTE ST / DAVIE ST,West End,490301.4015,5458792.1619
Mischief,2021,1,2,13,30,BUTE ST / ROBSON ST,West End,490767.2449,5459254.5984
Mischief,2021,2,8,0,0,BUTE ST / ROBSON ST,West End,490767.2449,5459254.5984
Mischief,2021,5,23,13,0,BUTE ST / ROBSON ST,West End,490767.2449,5459254.5984
Mischief,2021,8,29,19,0,BUTE ST / ROBSON ST,West End,490767.2449,5459254.5984
Mischief,2021,2,15,14,10,CAMBIE ST / DUNSMUIR ST,Central Business District,491886.364,5458643.0934
Mischief,2021,2,19,13,51,CAMBIE ST / W 13TH AVE,Fairview,491631.4546,5456303.9881
Mischief,2021,12,2,21,0,CAMBIE ST / W 14TH AVE,Fairview,491630.644,5456225.503
Mischief,2021,9,18,17,0,CAMBIE ST / W 20TH AVE,Riley Park,491613.4322,5455588.3225
Mischief,2021,1,7,5,0,CAMBIE ST / W 21ST AVE,Riley Park,491611.247,5455486.7715
Mischief,2021,3,24,19,5,CAMBIE ST / W 23RD AVE,Riley Park,491604.5699,5455264.7302
Mischief,2021,9,1,5,0,CAMBIE ST / W 49TH AVE,Oakridge,491506.6601,5452595.2974
Mischief,2021,4,14,22,0,CAMBIE ST / W 8TH AVE,Fairview,491641.6578,5456817.7806
Mischief,2021,6,12,0,0,CAMBIE ST / W 8TH AVE,Fairview,491641.6578,5456817.7806
Mischief,2021,10,2,3,30,CAMBIE ST / W CORDOVA ST,Central Business District,492061.6986,5458981.8421
Mischief,2021,10,13,11,22,CAMBIE ST / W HASTINGS ST,Central Business District,492028.3046,5458872.7095
Mischief,2021,7,2,15,0,CAMBIE ST / W KENT AVE N,Marpole,491456.4285,5450370.8306
Mischief,2021,8,11,23,59,CAMBIE ST / W KING EDWARD AVE,South Cambie,491594.3716,5455134.4764
Mischief,2021,3,3,19,19,CAMBIE ST / W PENDER ST,Central Business District,491994.9503,5458762.165
Mischief,2021,5,31,14,0,CAMBIE ST / W PENDER ST,Central Business District,491994.9503,5458762.165
Mischief,2021,6,2,8,30,CAMBIE ST / WATER ST,Central Business District,492085.8221,5459067.7424
Mischief,2021,11,19,7,30,CAMOSUN ST / W 17TH AVE,Dunbar-Southlands,485697.8561,5456102.6531
Mischief,2021,4,25,22,0,CAMPBELL AVE / E HASTINGS ST,Strathcona,493832.6688,5458702.2878
Mischief,2021,4,28,18,53,CAMPBELL AVE / E HASTINGS ST,Strathcona,493832.6688,5458702.2878
Mischief,2021,11,20,23,24,CAMPBELL AVE / E HASTINGS ST,Strathcona,493832.6688,5458702.2878
Mischief,2021,5,20,6,20,CARDERO ST / PENDRELL ST,West End,489995.422,5459251.4354
Mischief,2021,12,24,3,28,CARNARVON ST / W 30TH AVE,Dunbar-Southlands,487409.5258,5454726.1576
Mischief,2021,4,15,13,0,CAROLINA ST / E 16TH AVE,Mount Pleasant,493316.8025,5455967.4714
Mischief,2021,9,10,21,0,CAROLINA ST / E 17TH AVE,Riley Park,493314.9019,5455870.5106
Mischief,2021,6,15,10,45,CAROLINA ST / E 5TH AVE,Mount Pleasant,493379.1546,5457048.3729
Mischief,2021,3,14,11,0,CARRALL ST / E CORDOVA ST,Central Business District,492416.8336,5458858.1411
Mischief,2021,6,21,7,0,CARRALL ST / EXPO BLVD,Central Business District,492278.8098,5458371.1047
Mischief,2021,9,19,20,38,CARRALL ST / KEEFER PL,Central Business District,492401.9923,5458502.0813
Mischief,2021,1,20,11,55,CARRALL ST / PACIFIC BLVD,Central Business District,492257.5987,5458266.5561
Mischief,2021,9,20,14,15,CARRALL ST / W CORDOVA ST,Central Business District,492416.8336,5458858.1411
Mischief,2021,4,27,12,10,CARRALL ST / WATER ST,Central Business District,492420.23,5458974.1655
Mischief,2021,6,19,6,27,CASSIAR ST / DUNDAS ST,Hastings-Sunrise,497754.2784,5459115.7222
Mischief,2021,4,5,7,31,CENTRAL ST / MAIN ST,Mount Pleasant,492699.2545,5457646.8566
Mischief,2021,8,23,0,46,CHESTER ST / SE MARINE DR,Sunset,493475.648,5450925.4917
Mischief,2021,1,4,9,0,CLARK DR / E 20TH AVE,Kensington-Cedar Cottage,494326.6169,5455543.1049
Mischief,2021,6,20,20,18,CLARK DR / E BROADWAY AVE,Mount Pleasant,494352.284,5456628.3642
Mischief,2021,6,14,18,53,CLARK DR / FRANCES ST,Grandview-Woodland,494385.4206,5458526.6349
Mischief,2021,2,5,13,43,CLARK DR / VENABLES ST,Grandview-Woodland,494379.9924,5458225.4456
Mischief,2021,3,12,21,0,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.4333,5458743.6252
Mischief,2021,4,26,11,55,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.4333,5458743.6252
Mischief,2021,7,9,13,27,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.4333,5458743.6252
Mischief,2021,4,14,17,51,COLUMBIA ST / E PENDER ST,Central Business District,492561.8384,5458637.2021
Mischief,2021,12,21,0,20,COLUMBIA ST / E PENDER ST,Central Business District,492561.8384,5458637.2021
Mischief,2021,7,23,10,30,COLUMBIA ST / KEEFER ST,Central Business District,492569.9922,5458508.4775
Mischief,2021,10,21,20,0,COLUMBIA ST / W 10TH AVE,Mount Pleasant,492033.6669,5456604.2855
Mischief,2021,4,19,21,0,COLUMBIA ST / W 21ST AVE,Riley Park,492004.3295,5455471.6126
Mischief,2021,3,3,0,0,COLUMBIA ST / W 6TH AVE,Mount Pleasant,492036.3827,5456992.8223
Mischief,2021,3,13,0,0,COLUMBIA ST / W 6TH AVE,Mount Pleasant,492036.3827,5456992.8223
Mischief,2021,3,4,0,0,COLUMBIA ST / W 7TH AVE,Mount Pleasant,492035.9917,5456893.6036
Mischief,2021,8,26,19,3,COMMERCIAL DR / E 2ND AVE,Grandview-Woodland,494931.3594,5457329.03
Mischief,2021,10,16,0,0,COMMERCIAL DR / E 7TH AVE,Grandview-Woodland,494924.7623,5456825.2005
Mischief,2021,3,15,7,14,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272
Mischief,2021,10,17,12,0,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272
Mischief,2021,6,15,8,0,COMMERCIAL DR / GRANT ST,Grandview-Woodland,494935.1179,5457625.9967
Mischief,2021,5,15,22,10,COMMERCIAL DR / GRAVELEY ST,Grandview-Woodland,494933.3117,5457528.9353
