ID;SUBSYSTEM;CODE;COVWATERHYDRANTUNITTYPE;DISTANCEFROMCORNER;FEEDERLEN;DIR;LINE;COLOR;INCOMM;CHR0;CHR1;STREET_NUMBER;STREET;OLDHYDNUM;CASTSUB;OOCDATE;OOCNOTES;INSTDATE1;ORACLEID;ACTIVE;REMARKS;FIREUSEONLY;STATUS;COMPRESSION;ADDDTTM;ADDBY;MODBY;FEATURE_ID;UNITID;Geom;Geo Local Area
WH-O13-014;DSTR;AVK;2780;3.7;5.4;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC HEATHER ST & W 12TH AV;31B16;COVAV;;;2007-10-17;__FNHZ1Q;Active;;N;IN_SERVICE;Yes;2009-11-10T02:32:25-07:00;covDBimport;SDE 834766;31264;31264;"{""coordinates"": [-123.11986400032126, 49.26032795039839], ""type"": ""Point""}";Fairview
WH-M08-002;DSTR;TC;C71P;0.6;0.9;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC BIDWELL ST & BURNABY ST;05D21;COVAV;;;1900-01-01;__FJ8VVI;Active;unknown date of install;N;IN_SERVICE;Yes;2009-11-10T02:32:00-07:00;covDBimport;SDE 834766;31265;31265;"{""coordinates"": [-123.14132439199142, 49.28541275008937], ""type"": ""Point""}";West End
WH-N09-019;DSTR;AVK;2780;62.3;3.1;N-NORTH;N-NORTH;Blue;Yes;;;WS 900;GRANVILLE ST;06C21;;;;2008-09-12;__FJ8VVE;Active;;N;IN_SERVICE;Yes;2009-11-10T02:32:26-07:00;covDBimport;SDE 834766;31266;31266;"{""coordinates"": [-123.12241900885445, 49.27978827740009], ""type"": ""Point""}";Downtown
WH-P23-019;DSTR;TC;TC1;4.6;1.0;E-EAST;E-EAST;Blue;Yes;;;;NEC E 62ND AV & MAIN ST;83D06;COVAV;;;1967-01-01;__FJ8UDJ;Active;;N;IN_SERVICE;No;2009-11-10T02:32:26-07:00;covDBimport;SDE 834766;31267;31267;"{""coordinates"": [-123.10180693082893, 49.21443529573389], ""type"": ""Point""}";Sunset
WH-L15-021;DSTR;TC;TC1;191.4;0.9;S-SOUTH;S-SOUTH;Blue;Yes;;;WS 4088;ARBUTUS ST;48C29;COVAV;;;1978-01-01;__FJ8U17;Active;;N;IN_SERVICE;No;2009-11-10T02:32:26-07:00;covDBimport;ENISCB;31268;31268;"{""coordinates"": [-123.15328889058772, 49.24964181156376], ""type"": ""Point""}";Arbutus-Ridge
WH-M07-004;DSTR;TC;TC1;27.4;2.2;W-WEST;W-WEST;Blue;Yes;;;NEC 1900;BEACH AV;05D10;COVAV;;;1998-01-01;__FJ8VY2;Active;;Y;IN_SERVICE;No;2009-11-10T02:32:27-07:00;covDBimport;SDE 834766;31269;31269;"{""coordinates"": [-123.14270959495114, 49.288576457415544], ""type"": ""Point""}";West End
WH-O08-028;DSTR;TC;TC1;1.5;1.0;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC BURRARD ST & DUNSMUIR ST;04D42;COVAV;;;1974-01-01;__FJ8W1M;Active;;N;IN_SERVICE;No;2009-11-10T02:32:27-07:00;covDBimport;SDE 834766;31270;31270;"{""coordinates"": [-123.11940295828708, 49.28541375172405], ""type"": ""Point""}";Downtown
WH-L20-013;DSTR;TC;TC1;1.8;1.0;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC ANGUS DRIVE & W 45TH AV;62B01;COVAV;;;1979-01-01;__FJ8TX2;Active;;N;IN_SERVICE;No;2009-11-10T02:33:14-07:00;covDBimport;SDE 834766;31275;31275;"{""coordinates"": [-123.14767554342116, 49.23062961339645], ""type"": ""Point""}";Kerrisdale
WH-N08-008;DSTR;TC;TC1;6.1;15.0;E Line;E Line;Blue;Yes;;;;SEC SMITHE ST & BURRARD ST;06A08;COVAV;;;1989-01-01;__FJ8VWG;Active;;N;IN_SERVICE;No;2009-11-10T02:33:16-07:00;covDBimport;WAS17;31283;31283;"{""coordinates"": [-123.1242766540211, 49.282054213090845], ""type"": ""Point""}";Downtown
WH-T24-006;DSTR;TC;TC1;4.9;0.9;W-WEST;W-WEST;Blue;Yes;;;;SWC SCARBORO AV & MUIRFIELD DRIVE;79A02;COVAV;;;1950-01-01;__FJ8T1N;Active;;N;IN_SERVICE;No;2009-11-10T02:33:16-07:00;covDBimport;SDE 834766;31284;31284;"{""coordinates"": [-123.05773292191911, 49.21281920909775], ""type"": ""Point""}";Victoria-Fraserview
WH-G10-002;DSTR;TC;TC1;4.3;0.6;W-WEST;W-WEST;Yellow;Yes;;;;NWC BELMONT AV & NW MARINE DRIVE;25B03;COVAV;;;1971-01-01;__FJ8TS4;Active;;N;IN_SERVICE;No;2009-11-10T02:33:17-07:00;covDBimport;SDE 834766;31287;31287;"{""coordinates"": [-123.20589800552457, 49.27371432506232], ""type"": ""Point""}";West Point Grey
