ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area
8370 Cartier St;StrongStart BC;David Lloyd George StrongStart Centre;"{""coordinates"": [-123.13634890999998, 49.209962411067416], ""type"": ""Point""}";Marpole
2421 Scarboro Av;Public School;David Oppenheimer Elementary;"{""coordinates"": [-123.05829331021336, 49.21331811031946], ""type"": ""Point""}";Victoria-Fraserview
2896 W 6th Av;Public School;General Gordon Elementary;"{""coordinates"": [-123.17067418, 49.26597990206767], ""type"": ""Point""}";Kitsilano
4105 Gladstone St;Public School;Gladstone Secondary;"{""coordinates"": [-123.06163307000001, 49.24761203506759], ""type"": ""Point""}";Kensington-Cedar Cottage
7455 Ontario St;Public School;J.W. Sexsmith Community Elementary;"{""coordinates"": [-123.10879442, 49.21726779206743], ""type"": ""Point""}";Marpole
530 E 41st Av;Public School;John Oliver Secondary;"{""coordinates"": [-123.09279776, 49.23195715006752], ""type"": ""Point""}";Sunset
2550 W 10th Av;Public School;Kitsilano Secondary;"{""coordinates"": [-123.16358941, 49.262654772067656], ""type"": ""Point""}";Kitsilano
1166 W 14th Av;Public School;L'Ecole Bilingue Elementary;"{""coordinates"": [-123.13038640000002, 49.25808403306762], ""type"": ""Point""}";Fairview
3939 W 16th Av;Public School;Lord Byng Secondary;"{""coordinates"": [-123.1925309529982, 49.259566550086106], ""type"": ""Point""}";West Point Grey
2235 Kitchener St;Public School;Lord Nelson Elementary;"{""coordinates"": [-123.05971209, 49.27250773706771], ""type"": ""Point""}";Grandview-Woodland
2235 Kitchener St;StrongStart BC;Lord Nelson StrongStart Centre;"{""coordinates"": [-123.05971209, 49.27250773706771], ""type"": ""Point""}";Grandview-Woodland
1750 E 22nd Av;StrongStart BC;Lord Selkirk StrongStart Centre;"{""coordinates"": [-123.06900705, 49.249691952067586], ""type"": ""Point""}";Kensington-Cedar Cottage
6360 Maple St;Public School;Magee Secondary;"{""coordinates"": [-123.15153798760876, 49.22855386506042], ""type"": ""Point""}";Kerrisdale
3375 Nootka St;Public School;Nootka Community Elementary;"{""coordinates"": [-123.04294917, 49.25359297006762], ""type"": ""Point""}";Renfrew-Collingwood
2880 Venables St;Independent School;Notre Dame Regional Secondary;"{""coordinates"": [-123.04556662808874, 49.275802839348714], ""type"": ""Point""}";Hastings-Sunrise
575 Slocan St;Independent School;Our Lady of Sorrows;"{""coordinates"": [-123.05015370472844, 49.27957121602082], ""type"": ""Point""}";Hastings-Sunrise
2409 E Pender St;Independent School;PALS Autism School;"{""coordinates"": [-123.05595432992459, 49.28051480952856], ""type"": ""Point""}";Hastings-Sunrise
4196 W 4th Av;Independent School;Pacific Spirit School;"{""coordinates"": [-123.1982460233882, 49.267667982326586], ""type"": ""Point""}";West Point Grey
5750 Oak St;Independent School;Pacific Torah Institute International;"{""coordinates"": [-123.12761225509908, 49.23342156632536], ""type"": ""Point""}";Oakridge
449 E 62nd Av;Public School;Pierre Elliott Trudeau Elementary;"{""coordinates"": [-123.096959, 49.21445400406743], ""type"": ""Point""}";Sunset
3417 Euclid Av;Public School;Prov. Early Intervention Resource Prg;"{""coordinates"": [-123.032313, 49.23634859906753], ""type"": ""Point""}";Renfrew-Collingwood
1300 E Broadway;StrongStart BC;Queen Alexandra StrongStart Centre;"{""coordinates"": [-123.07592057, 49.261970549067655], ""type"": ""Point""}";Kensington-Cedar Cottage
4275 Crown St;Public School;Queen Elizabeth Annex;"{""coordinates"": [-123.19469107, 49.24893677906758], ""type"": ""Point""}";Dunbar-Southlands
2000 Trimble St;Public School;Queen Mary Elementary;"{""coordinates"": [-123.20479699, 49.26785642206768], ""type"": ""Point""}";West Point Grey
1025 Slocan St;Public School;SD 39 DL Elementary;"{""coordinates"": [-123.05026876999999, 49.27541639106772], ""type"": ""Point""}";Hastings-Sunrise
2150 Brigadoon Av;Public School;Sir James Douglas Elementary;"{""coordinates"": [-123.0646531767478, 49.21604932869144], ""type"": ""Point""}";Victoria-Fraserview
250S Skeena St;Public School;Sir John Franklin Community;"{""coordinates"": [-123.02758566, 49.28249619606777], ""type"": ""Point""}";Hastings-Sunrise
1430 Lillooet St;Public School;Sir Matthew Begbie Elementary;"{""coordinates"": [-123.03801003712412, 49.27183079984159], ""type"": ""Point""}";Hastings-Sunrise
590 W 65th Av;Public School;Sir Wilfrid Laurier Annex;"{""coordinates"": [-123.11944529999998, 49.210717995067405], ""type"": ""Point""}";Marpole
5970 Selkirk St;Public School;Sir William Osler Elementary;"{""coordinates"": [-123.13266216000001, 49.23076242206749], ""type"": ""Point""}";Oakridge
5351 Camosun St;Public School;Southlands Elementary;"{""coordinates"": [-123.19781516, 49.23813758506754], ""type"": ""Point""}";Dunbar-Southlands
450 E 47th Av;Independent School;St Andrew's;"{""coordinates"": [-123.09585589038312, 49.22721361145612], ""type"": ""Point""}";Sunset
2145 W 8th Av;Independent School;St Augustine's;"{""coordinates"": [-123.15355224259545, 49.26517255153582], ""type"": ""Point""}";Kitsilano
870 Victoria Drive;Independent School;St Francis of Assisi;"{""coordinates"": [-123.06504858875364, 49.276881634743646], ""type"": ""Point""}";Grandview-Woodland
4175 W 29th Av;Independent School;St George's School;"{""coordinates"": [-123.19846496388473, 49.24758226745896], ""type"": ""Point""}";Dunbar-Southlands
3261 Fleming St;Independent School;St Joseph's;"{""coordinates"": [-123.0716470523458, 49.255914408245054], ""type"": ""Point""}";Kensington-Cedar Cottage
